was/VBD	(root,1) (was,1) (VBD,1) 
akong/JJ	(JJ,1) (ko,1) (VBP,1) (VB,1) (amod,1) (xcomp,1) (dep,1) (NNP,1) (Isa,1) (root,1) (akong,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
percent/NN	(NN,1) (get,1) (root,1) (VB,1) (nsubj,1) (percent,1) 
gumugulo/NN	(NN,1) (NNP,1) (ko,1) (gumugulo,1) (VBP,1) (di,1) (root,1) (nsubj,1) (compound,1) 
ito/NN	(NN,2) (ito,1) (root,1) (VBD,1) (ang,1) (nsubj,1) (compound,1) (bayad,1) 
ano/NN	(NN,1) (ano,1) (ko,1) (VBP,1) (root,1) (lang,1) (VB,1) (dobj,1) (xcomp,1) 
your/PRP$	(NNS,1) (ccomp,1) (PRP$,1) (nmod:poss,1) (appreciate,1) (blessings,1) (root,1) (your,1) (VB,2) (dobj,1) (make,1) 
12:59:31/CD	(NNP,1) (CD,2) (12:59:31,1) (root,1) (leido,1) (PM,1) (compound,1) (dep,1) 
hopes/NNS	(NNS,1) (VBP,1) (root,1) (have,1) (hopes,1) (dobj,1) 
nakipagsapalaran/VB	(ko,1) (VBP,1) (root,1) (nakipagsapalaran,1) (VB,1) (xcomp,1) 
war/NN	(love,1) (NN,2) (VBN,1) (nmod:with,1) (root,1) (war,1) (conj:and,1) (done,1) 
all/PDT	(NN,1) (all,1) (PDT,1) (det:predet,1) (root,1) (while,1) 
games/NNS	(NNS,1) (root,1) (games,1) 
my/PRP$	(NN,1) (PRP$,1) (nmod:poss,1) (root,1) (my,1) (benchmark,1) 
12:58:48/CD	(NNP,1) (CD,2) (root,1) (leido,1) (PM,1) (12:58:48,1) (compound,1) (dep,1) 
leido/NNP	(NNP,1) (root,1) (leido,1) 
nga/NN	(NN,2) (VBP,1) (root,1) (name,1) (e.,1) (nga,1) (nsubj,1) (compound,1) 
looking/VBG	(NN,1) (root,1) (looking,1) (VBG,1) (acl,1) ('s,1) (nsubj,1) (way,1) (VBZ,1) 
sipping/VBG	(checking,1) (sipping,1) (root,1) (VBD,1) (VBG,2) (advcl,1) (imagined,1) (xcomp,1) 
hoping/VBG	(NN,1) (hoping,1) (im,1) (root,1) (VBG,1) (acl,1) 
joy/NN	(NN,1) (checking,1) (sipping,1) (joy,1) (root,1) (VBD,1) (VBG,2) (advcl,1) (imagined,1) (dobj,1) (xcomp,1) 
kakaisip/NN	(NN,1) (ccomp,1) (kakaisip,1) (VBP,2) (root,1) (ng,1) (nsubj,1) (sa,1) 
pero/JJ	(JJ,1) (NNS,1) (VBP,1) (pero,1) (root,1) (nga,1) (paki,1) (dobj,1) (amod,1) 
know/VB	(NN,1) (truth,1) (root,1) (understand,1) (know,1) (VB,2) (dobj,1) (dep,1) 
12:58:37/CD	(NNP,1) (CD,2) (root,1) (leido,1) (PM,1) (12:58:37,1) (compound,1) (dep,1) 
depressed/JJ	(JJ,1) (VBP,1) (root,1) (depressed,1) (feel,1) (xcomp,1) 
well/UH	(UH,1) (im,1) (root,1) (well,1) (VB,1) (discourse,1) 
happy/JJ	(JJ,1) (root,1) (happy,1) (VB,1) (make,1) (xcomp,1) 
gross/JJ	(NN,1) (JJ,1) (gross,1) (VBP,1) (want,1) (makes,1) (it,1) (obsession,1) (amod,1) (VBZ,1) (PRP,1) (ccomp,1) (nmod:but,1) (root,1) (dobj,1) 
movie/NN	(NN,1) (movie,1) (root,1) 
its/PRP$	(NN,1) (PRP$,1) (im,1) (root,1) (its,1) (appos,1) 
matapos/JJ	(JJ,1) (ko,1) (VBP,1) (VB,1) (amod,1) (xcomp,1) (dep,1) (matapos,1) (NNP,1) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
para/NN	(NN,3) (para,1) (root,1) (bading,1) (compound,2) (sa,1) 
Its/PRP$	(PRP$,1) (like,1) (VBP,1) (root,1) (Its,1) (nsubj,1) 
6th/JJ	(NN,2) (JJ,1) (im,1) (root,1) (6th,1) (amod,1) (day,1) (nmod:on,1) 
No/DT	(NN,1) (DT,1) (No,1) (neg,1) (root,1) (feeling,1) 
dvds/NNS	(expect,1) (burn,1) (NNS,1) (root,1) (teach,1) (ask,1) (conj:and,1) (VB,4) (dobj,1) (xcomp,2) (dvds,1) 
M./NNP	(M.,1) (ko,1) (VBP,1) (VB,1) (compound,1) (xcomp,1) (dep,1) (NNP,2) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
leido/NN	(NN,1) (root,1) (leido,1) 
im/RB	(RB,1) (advmod,1) (im,2) (root,1) (VBG,1) (VB,1) (eating,1) (xcomp,1) 
ako/NNP	(NN,2) (nagandahan,1) (nmod:at,1) (NNP,1) (ako,1) (VBP,1) (root,1) (ang,1) (dobj,1) (compound,1) (pelikula,1) 
do/VB	(NNP,1) (Mantra,1) (root,1) (parataxis,1) (do,1) (VB,1) 
20/CD	(NN,1) (CD,1) (nummod,1) (get,1) (root,1) (VB,1) (nsubj,1) (percent,1) (20,1) 
ill/RB	(RB,1) (root,1) (ill,1) (VB,1) (make,1) (dep,1) 
shame/NN	(NN,1) (shame,1) (hide,1) (ccomp,1) (nmod:in,1) (VBP,1) (root,1) (want,1) (makes,1) (VB,1) (xcomp,1) (VBZ,1) 
mom/NN	(NN,1) (nmod:with,1) (root,1) (argue,1) (mom,1) (VB,1) 
listening/VBG	(NN,1) (listening,1) (root,1) (VBG,1) (acl,1) (while,1) 
kapal/JJ	(NN,1) (JJ,1) (tao,1) (kapal,1) (VBP,1) (root,1) (VBG,1) (advcl,1) (dobj,1) (amod,1) (sa,1) (sobrang,1) 
one/CD	(NN,1) (CD,1) (VBP,1) (root,1) (buy,1) (one,1) (have,1) (acl,1) (dobj,2) (VB,1) (cash,1) 
funny/JJ	(NN,1) (JJ,1) (root,1) (feeling,1) (amod,1) (funny,1) 
cash/NN	(NN,1) (VBP,1) (root,1) (have,1) (dobj,1) (cash,1) 
dream/NN	(NN,2) (csubj,1) (dream,1) (nmod:of,1) (root,1) (remembering,1) (makes,1) (context,1) (VBG,1) (dobj,1) (VBZ,1) 
issue/NN	(NN,1) (issue,1) (root,1) (takes,1) (nsubj,1) (VBZ,1) 
back/RB	(RB,1) (advmod,1) (brought,1) (root,1) (VBD,1) (back,1) 
susunod/VB	(susunod,1) (root,1) (VB,1) 
thanks/NNS	(NN,1) (RB,1) (thanks,1) (no,1) (NNS,2) (salads,1) (root,1) (leido,1) (dep,3) 
driving/VBG	(driving,1) (root,1) (VBG,1) 
kabilang/NN	(NN,1) (NNP,1) (kabilang,1) (root,1) (VBD,1) (dobj,1) (compound,1) (MRT,1) (bayad,1) 
how/WRB	(expect,1) (burn,1) (how,1) (advmod,1) (WRB,1) (root,1) (teach,1) (ask,1) (conj:and,1) (VB,4) (xcomp,2) 
nagisang/VBG	(nagisang,1) (VBP,1) (root,1) (VBG,1) (advcl,1) (aso,1) 
flower/NN	(NN,3) (beauty,1) (nmod:of,1) (understand,1) (parataxis,1) (gather,1) (VB,3) (dep,1) (flower,1) (truth,1) (root,1) (know,1) (dobj,2) 
y/NN	(NN,3) (sud,1) (poison,1) (root,1) (y,1) (compound,1) (dep,1) 
dahil/NN	(dahil,1) (NN,1) (ko,1) (VBP,1) (VB,1) (compound,1) (xcomp,1) (dep,1) (NNP,1) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
many/JJ	(NN,1) (JJ,2) (love,1) (amod,2) (VB,1) (many,1) (good,1) (xcomp,1) (NNS,1) (root,1) (things,1) (leido,1) (dobj,1) 
during/IN	(NNS,1) (lives,1) (IN,1) (get,1) (root,1) (nmod:during,1) (during,1) (VB,1) (case,1) 
film/NN	(NN,2) (root,1) (film,1) (nsubj,1) (benchmark,1) 
head/NN	(NN,1) (VBN,1) (nmod:with,1) (acl,1) (VB,2) (xcomp,1) (head,1) (NNS,1) (nmod:above,1) (root,1) (have,1) (arms,1) (stand,1) (crossed,1) 
fave/JJ	(NN,1) (JJ,1) (fave,1) (taghorjix,1) (root,1) (amod,1) 
sheets/NNS	(checking,1) (sheets,1) (NNS,1) (root,1) (VBD,1) (VBG,1) (imagined,1) (dobj,1) (xcomp,1) 
anymore/RB	(RB,1) (advmod,1) (NNS,1) (root,1) (games,1) (anymore,1) 
hehe/VBD	(NNP,1) (root,1) (VBD,1) (leido,1) (hehe,1) (dep,1) 
ko/VBP	(ko,1) (VBP,1) (root,1) 
Night/NNP	(NNP,1) (VBN,1) (Night,1) (nsubjpass,1) (root,1) (done,1) 
's/VBZ	(root,1) ('s,1) (VBZ,1) 
generally/RB	(RB,1) (advmod,1) (last,1) (VBP,1) (root,1) (generally,1) 
buy/VB	(NN,1) (VBP,1) (root,1) (buy,1) (have,1) (acl,1) (dobj,1) (VB,1) (cash,1) 
fair/JJ	(NN,1) (JJ,1) (NNS,1) (root,1) (leido,1) (fair,1) (amod,1) (dep,1) (alls,1) 
been/VBN	(NN,1) (boring,1) (been,1) (PRP$,1) (VBN,1) (im,1) (cop,1) (root,1) (its,1) (VBG,1) (acl,1) (appos,1) 
did/VBD	(VBP,1) (root,1) (feel,1) (VBD,1) (parataxis,1) (did,1) 
wrong/JJ	(RB,1) (JJ,1) (advmod,1) (unfolding,1) (root,1) (VBG,1) (advcl,1) (right,1) (wrong,1) 
potsky/NN	(NN,1) (root,1) (potsky,1) 
pagsasayang/VBG	(NN,1) (VBP,1) (root,1) (pagsasayang,1) (ng,1) (VBG,1) (acl,1) (nsubj,1) (sa,1) 
-/NNP	(NN,1) (NNP,2) (root,1) (Gogh,1) (list,1) (nsubj,1) (-,1) (compound,1) 
him/PRP	(expect,1) (root,1) (ask,1) (conj:and,1) (VB,2) (dobj,1) (him,1) (PRP,1) 
blisters/NNS	(NNS,1) (last,1) (VBP,1) (root,1) (nsubj,1) (blisters,1) 
things/NNS	(NN,1) (JJ,1) (love,1) (NNS,1) (root,1) (things,1) (leido,1) (amod,1) (VB,1) (dobj,1) (good,1) (xcomp,1) 
spencer/NN	(NN,3) (nmod:at,1) (spencer,1) (nmod:of,1) (imagined,1) (pair,1) (xcomp,1) (jeans,1) (NNS,1) (sale,1) (ccomp,1) (root,1) (buying,1) (VBD,1) (VBG,1) (nmod:on,1) 
kase/NN	(NN,1) (root,1) (kase,1) 
wisdom/NN	(NN,1) (help,1) (grow,1) (nmod:in,1) (VBP,2) (root,1) (feel,1) (advcl,1) (VB,1) (xcomp,1) (wisdom,1) 
akong/NN	(NN,1) (NNS,1) (VBP,1) (root,1) (akong,1) (nga,1) (paki,1) (dobj,1) (compound,1) 
having/VBG	(having,1) (csubj,1) (root,1) (VBG,1) (VB,1) (make,1) 
performance/NN	(NN,1) (performance,1) (VBP,1) (nmod:about,1) (root,1) (feel,1) 
spending/VBG	(NN,1) (hoping,1) (ccomp,2) (spending,1) (im,1) (root,1) (VBG,2) (come,1) (acl,1) (VB,1) 
middle/NN	(NN,1) (NNS,1) (VBN,1) (middle,1) (VBP,1) (nmod:by,1) (settled,1) (root,1) (have,1) (hopes,1) (dobj,1) (dep,1) 
2/CD	(NNP,1) (CD,1) (2,1) (Mantra,1) (root,1) (amod,1) 
mula/NNP	(NNP,2) (VBP,1) (root,1) (Avenue,1) (VB,1) (dobj,1) (compound,1) (sa,2) (xcomp,1) (mula,1) 
agree/VBP	(VBP,1) (root,1) (agree,1) 
whosoever/RB	(NN,1) (JJ,1) (RB,1) (performs,1) (advmod,1) (root,1) (leido,1) (advcl,1) (amod,1) (good,1) (whosoever,1) (VBZ,1) 
yon/RB	(NN,2) (RB,1) (root,1) (yon,1) (VBG,1) (taong,1) (acl,1) (dobj,1) (bading,1) (compound,1) (sa,1) 
liberation/NN	(NN,2) (nmod:of,1) (root,1) (liberation,1) (feeling,1) 
but/CC	(but,1) (CC,1) (cc,1) (VBN,1) (root,1) (supposed,1) 
tasks/NNS	(NN,2) (nmod:at,1) (nmod:of,1) (acl,1) (VB,2) (compound,1) (most,1) (JJS,1) (NNS,1) (accomplish,1) (get,1) (root,1) (ive,1) (time,1) (dobj,1) (tasks,1) 
love/VB	(NN,1) (JJ,1) (love,1) (root,1) (leido,1) (amod,1) (VB,1) (good,1) (xcomp,1) 
Maybe/RB	(RB,1) (NNP,1) (advmod,1) (Maybe,1) (Mantra,1) (needed,1) (root,1) (VBD,1) (parataxis,2) (do,1) (VB,1) 
o/NN	(NN,2) (itong,1) (root,1) (VBG,1) (kaya,1) (nsubj,1) (compound,1) (o,1) 
grow/VB	(help,1) (grow,1) (VBP,2) (root,1) (feel,1) (advcl,1) (VB,1) (xcomp,1) 
malisya/NN	(NN,2) (walang,1) (marie,1) (root,1) (VBD,1) (rose,1) (malisya,1) (VB,1) (dobj,1) (appos,1) (xcomp,1) 
That/DT	(manifestations,1) (That,1) (DT,1) (NNS,2) (det,1) (root,1) (dreams,1) (nsubj,1) 
pesto/NN	(NN,2) (pesto,1) (root,1) (leido,1) (dep,1) 
remember/NNP	(remember,1) (driving,1) (NNP,1) (root,1) (VBG,1) (nsubj,1) 
kahit/NN	(NN,1) (NNP,1) (VBP,1) (root,1) (pag,1) (nsubj,1) (kahit,1) (compound,1) (sa,1) 
settled/VBN	(NNS,1) (VBN,1) (VBP,1) (settled,1) (root,1) (have,1) (hopes,1) (dobj,1) (dep,1) 
sembreak/NN	(NN,2) (sembreak,1) (find,1) (root,1) (motivation,1) (VB,1) (dobj,1) (compound,1) 
cheung/VBG	(NN,1) (VBP,1) (root,1) (maggie,1) (cheung,1) (ma-involve,1) (VBG,1) (acl,1) (VB,1) (dobj,1) (xcomp,1) (ba,1) 
100/CD	(NN,1) (100,1) (CD,1) (NNS,1) (performance,1) (nmod:poss,1) (VBP,1) (nummod,1) (nmod:about,1) (root,1) (feel,1) (students,1) 
expect/VB	(expect,1) (root,1) (VB,1) 
course/NN	(NN,2) (listening,1) (NNP,1) (nmod:of,1) (89.9,1) (root,1) (nmod:to,1) (course,1) (VBG,1) (acl,1) (while,1) 
ng/JJ	(NN,2) (JJ,1) (ko,1) (root,1) (ng,1) (amod,1) (bading,1) (compound,1) 
research/VB	(VBN,1) (root,1) (supposed,1) (go,1) (advcl,1) (VB,2) (xcomp,1) (research,1) 
guy/NN	(NN,2) (NNS,1) (root,1) (Thanks,1) (VBD,1) (i,1) (received,1) (guy,1) (nsubj,1) (nmod:for,1) (compound,1) 
im/NN	(NN,1) (im,1) (root,1) 
strings/NNS	(NN,1) (NNS,1) (strings,1) (root,1) (commitment,1) (appos,1) 
world/NN	(NN,1) (help,1) (world,1) (VBP,2) (root,1) (feel,1) (advcl,1) (dobj,1) 
do/VBP	(expect,1) (VBP,1) (aux,1) (root,1) (do,1) (VB,1) 
nagandahan/NN	(NN,2) (nagandahan,1) (nmod:at,1) (VBP,1) (root,1) (ang,1) (dobj,1) (pelikula,1) 
also/RB	(RB,1) (advmod,1) (root,1) (was,1) (VBD,1) (also,1) 
taong/VBG	(NN,2) (root,1) (VBG,1) (taong,1) (acl,1) (bading,1) (compound,1) (sa,1) 
ay/NN	(NN,2) (root,1) (ay,1) (bading,1) (compound,1) 
stomach/NN	(NN,2) (nmod:in,1) (root,1) (stomach,1) (feeling,1) 
internet/NN	(NN,3) (poison,1) (nmod:of,1) (use,1) (root,1) (dep,1) (internet,1) 
we/PRP	(NNS,1) (VBN,1) (VBP,1) (settled,1) (root,1) (have,1) (hopes,1) (dobj,1) (nsubj,1) (dep,1) (we,1) (PRP,1) 
ma-involve/VB	(VBP,1) (root,1) (ma-involve,1) (VB,1) (xcomp,1) (ba,1) 
people/NNS	(NN,1) (NNS,1) (nmod:of,1) (get,1) (root,1) (VB,1) (nsubj,1) (percent,1) (people,1) 
alone/RB	(NN,1) (RB,1) (advmod,1) (alone,1) (root,1) (leido,1) 
jack/FW	(NN,1) (FW,1) (root,1) (leido,1) (compound,1) (jack,1) 
no/RB	(NN,1) (RB,1) (no,1) (NNS,1) (salads,1) (root,1) (leido,1) (dep,2) 
si/VB	(NN,1) (si,1) (root,1) (nilibing,1) (kase,1) (VBG,1) (VB,1) (appos,1) (xcomp,1) 
are/VBP	(manifestations,1) (NNS,1) (are,1) (VBP,1) (cop,1) (root,1) 
slave/NN	(slave,1) (NN,1) (FW,1) (VBP,1) (root,1) (feel,1) (i,1) (nsubj,1) (dep,1) 
good/JJ	(NN,1) (JJ,1) (root,1) (leido,1) (amod,1) (good,1) 
You/PRP	(root,1) (have,1) (VB,1) (nsubj,1) (You,1) (PRP,1) 
nila/NN	(NN,2) (nila,1) (root,1) (bading,1) (compound,1) 
Isa/NNP	(NNP,1) (ko,1) (VBP,1) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (VB,1) (nsubj,1) (xcomp,1) (pang,1) (dep,1) 
laban/NN	(NN,2) (laban,1) (root,1) (bading,1) (compound,1) 
net/JJ	(NN,1) (JJ,1) (ccomp,1) (kakaisip,1) (VBP,2) (root,1) (ng,1) (nsubj,1) (net,1) (amod,1) (sa,1) 
ganun/NN	(NN,1) (NNP,1) (ganun,1) (VBP,1) (root,1) (pag,1) (nsubj,1) (compound,1) (sa,1) 
help/VBP	(help,1) (VBP,2) (root,1) (feel,1) (advcl,1) 
ive/NN	(NN,2) (nmod:at,1) (nmod:of,1) (acl,1) (VB,2) (most,1) (JJS,1) (accomplish,1) (get,1) (root,1) (ive,1) (time,1) (dobj,1) 
naman/NN	(NN,2) (root,1) (VBD,1) (ang,1) (nsubj,1) (naman,1) (compound,1) (bayad,1) 
jack/NN	(NN,1) (NNP,1) (root,1) (leido,1) (compound,1) (jack,1) 
filled/VBN	(VBN,1) (VBP,1) (root,1) (feel,1) (filled,1) (conj:and,1) 
ago/RB	(RB,1) (think,1) (advmod,1) (ccomp,1) (like,1) (VBP,1) (root,1) (ago,1) (VBD,1) (VB,1) (met,1) (xcomp,1) 
eh/JJ	(NN,2) (JJ,1) (eh,1) (root,1) (lol,1) (amod,1) (potsky,1) (dep,1) 
going/VBG	(NNS,2) (whats,1) (nmod:of,1) (going,1) (writing,1) (root,1) (VBG,2) (acl,1) (updates,1) (dobj,1) 
sale/NN	(NN,2) (nmod:of,1) (imagined,1) (pair,1) (xcomp,1) (jeans,1) (NNS,1) (sale,1) (ccomp,1) (root,1) (buying,1) (VBD,1) (VBG,1) (nmod:on,1) 
stuffs/NNS	(NNS,1) (ccomp,1) (root,1) (buying,1) (VBD,1) (stuffs,1) (VBG,1) (imagined,1) (dobj,1) 
desires/NNS	(manifestations,1) (NNS,2) (nmod:of,1) (root,1) (desires,1) 
sa/NN	(NN,2) (root,1) (bading,1) (compound,1) (sa,1) 
nachicken/NN	(NN,3) (nachicken,1) (root,1) (lol,1) (potsky,1) (compound,1) (dep,1) 
dahil/JJ	(NN,1) (dahil,1) (JJ,1) (root,1) (VBD,1) (ang,1) (nsubj,1) (amod,1) (bayad,1) 
crossed/VBN	(NNS,1) (VBN,1) (nmod:with,1) (root,1) (have,1) (arms,1) (acl,1) (VB,2) (stand,1) (crossed,1) (xcomp,1) 
life/NN	(NN,1) (ccomp,1) (nmod:in,1) (appreciate,1) (root,1) (VB,2) (make,1) (life,1) 
poison/NN	(NN,1) (poison,1) (root,1) 
3/CD	(NN,1) (CD,2) (3,1) (million,1) (nummod,1) (taghorjix,1) (root,1) (compound,1) 
brought/VBD	(brought,1) (root,1) (VBD,1) 
Gogh/NNP	(NN,1) (NNP,1) (root,1) (Gogh,1) (list,1) (nsubj,1) 
far/RB	(NN,2) (JJ,1) (RB,1) (advmod,1) (im,1) (far,1) (root,1) (acl,1) (bumhood,1) (day,1) (nmod:on,1) 
beauty/NN	(NN,2) (truth,1) (beauty,1) (root,1) (understand,1) (know,1) (parataxis,1) (gather,1) (VB,3) (dobj,2) (dep,1) 
tingin/NN	(NN,2) (root,1) (bading,1) (compound,1) (tingin,1) 
in/IN	(love,1) (NN,1) (VBN,1) (nmod:with,1) (in,1) (IN,1) (root,1) (done,1) (case,1) 
two/CD	(merienda,1) (NN,1) (CD,1) (turned,1) (nmod:with,1) (root,1) (VBD,1) (nsubj,1) (two,1) 
just/RB	(JJ,1) (RB,1) (advmod,1) (ccomp,1) (VBP,1) (fine,1) (root,1) (e.,1) (just,1) 
Filart/NNP	(NNP,1) (VBP,1) (root,1) (Filart,1) (VBG,1) (aso,1) (dobj,1) (xcomp,1) (kong,1) 
extra/JJ	(NN,1) (JJ,1) (VBP,1) (root,1) (extra,1) (have,1) (dobj,1) (amod,1) (cash,1) 
------/NNP	(NNP,2) (VBN,1) (Night,1) (nsubjpass,1) (root,1) (------,1) (done,1) (compound,1) 
more/JJR	(NNS,1) (JJR,1) (more,1) (root,1) (games,1) (amod,1) 
remember/VB	(NN,1) (remember,1) (hoping,1) (ccomp,2) (im,1) (root,1) (VBG,1) (come,1) (acl,1) (VB,2) 
received/VBD	(root,1) (VBD,1) (received,1) 
oras/NNS	(NN,1) (oras,1) (NNS,1) (VBP,1) (root,1) (pagsasayang,1) (ng,1) (VBG,1) (acl,1) (nsubj,1) (dobj,1) (sa,1) 
hope/VBP	(VBP,1) (root,1) (hope,1) 
the/NN	(JJ,1) (NN,1) (-----,1) (WRB,1) (when,1) (dep,3) (VBZ,1) (the,1) (aperture,1) (NNS,1) (root,1) (takes,1) (nmod:on,1) 
matapos/VBZ	(root,1) (matapos,1) (VBZ,1) 
first/JJ	(NN,2) (exam,1) (JJ,1) (performance,1) (VBP,1) (nmod:about,1) (root,1) (feel,1) (amod,1) (nmod:on,1) (first,1) 
mang/VBG	(NN,1) (ano,1) (ko,1) (VBP,1) (root,1) (VBG,1) (acl,1) (lang,1) (VB,1) (dobj,1) (xcomp,1) (mang,1) 
with/IN	(NN,1) (with,1) (IN,1) (root,1) (feeling,1) (case,1) 
kahapon/NN	(NN,2) (VBP,1) (root,1) (din,1) (kahapon,1) (aso,1) (nsubj,1) (compound,1) 
Inaamin/NNP	(NNP,1) (ko,1) (VBP,1) (root,1) (nsubj,1) (Inaamin,1) 
Guilty/RB	(RB,1) (took,1) (advmod,1) (root,1) (VBD,1) (Guilty,1) 
benchmark/NN	(NN,1) (root,1) (benchmark,1) 
I/PRP	(VBP,1) (root,1) (feel,1) (I,1) (nsubj,1) (PRP,1) 
feel/VBP	(VBP,1) (root,1) (feel,1) 
almond/JJ	(NN,1) (JJ,1) (checking,1) (almond,1) (imagined,1) (amod,1) (xcomp,1) (sipping,1) (joy,1) (root,1) (VBD,1) (VBG,2) (advcl,1) (dobj,1) 
Vincent/NNP	(NN,1) (NNP,2) (Vincent,1) (root,1) (Gogh,1) (list,1) (nsubj,1) (compound,1) 
turned/VBD	(turned,1) (root,1) (VBD,1) 
change/VB	(NNP,1) (Mantra,1) (needed,1) (root,1) (change,1) (VBD,1) (parataxis,2) (do,1) (VB,2) (xcomp,1) 
ngayon/NN	(NN,1) (NNP,1) (ko,1) (VBP,1) (di,1) (root,1) (nsubj,1) (compound,1) (ngayon,1) 
murang/VBG	(ccomp,1) (VBP,2) (murang,1) (root,1) (ng,1) (VBG,1) (sa,1) (xcomp,1) 
chat/NN	(susunod,1) (NN,1) (NNS,1) (EX,1) (------------,1) (chat,1) (root,1) (there,1) (VB,1) (compound,1) (xcomp,1) (dep,1) 
pupuntahan/NN	(NN,1) (ko,1) (VBP,1) (VB,1) (compound,1) (xcomp,1) (dep,1) (pupuntahan,1) (NNP,1) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
ko/JJ	(NN,1) (JJ,1) (ko,1) (root,1) (amod,1) (bading,1) 
kahit/JJ	(NN,1) (JJ,1) (VBP,1) (root,1) (name,1) (e.,1) (nsubj,1) (kahit,1) (amod,1) 
save/VB	(JJ,1) (ccomp,1) (root,1) (save,1) (VB,1) (easy,1) 
kaibigan/NN	(NN,2) (VBP,1) (root,1) (kaibigan,1) (lang,1) (dobj,1) (compound,1) (sa,1) 
took/VBD	(took,1) (root,1) (VBD,1) 
undefined/JJ	(JJ,1) (relationships,1) (NNS,1) (having,1) (csubj,1) (root,1) (VBG,1) (VB,1) (dobj,1) (amod,1) (make,1) (undefined,1) 
anything/NN	(NN,2) (nmod:with,1) (nmod:about,1) (root,1) (argue,1) (mom,1) (VB,1) (anything,1) 
seem/VB	(ccomp,1) (root,1) (VB,2) (make,1) (seem,1) 
find/VB	(find,1) (root,1) (VB,1) 
malay/JJ	(NN,2) (JJ,1) (ko,1) (root,1) (amod,1) (bading,1) (compound,1) (malay,1) 
healthily/NN	(NN,1) (im,1) (healthily,1) (root,1) (VBG,1) (VB,1) (eating,1) (dobj,1) (xcomp,1) 
ng/NN	(NN,1) (VBP,1) (root,1) (ng,1) (nsubj,1) (sa,1) 
di/DT	(NN,1) (DT,1) (det,1) (di,1) (root,1) (bading,1) 
malabo/NN	(NN,4) (talaga,1) (taong,1) (acl,1) (compound,2) (sa,1) (mukang,1) (root,1) (VBG,2) (advcl,1) (dobj,1) (bading,1) (malabo,1) 
most/JJS	(NN,1) (most,1) (nmod:at,1) (JJS,1) (accomplish,1) (get,1) (root,1) (time,1) (acl,1) (VB,2) (dobj,1) 
song/NN	(NN,3) (song,1) (beauty,1) (nmod:of,1) (understand,1) (parataxis,1) (gather,1) (VB,3) (dep,1) (truth,1) (root,1) (know,1) (dobj,2) 
live/VBP	(NNP,1) (VBP,1) (root,1) (leido,1) (parataxis,1) (live,1) 
dahilan/NN	(NN,2) (root,1) (VBD,1) (ang,1) (dahilan,1) (nsubj,1) (compound,1) (bayad,1) 
try/VB	(root,1) (try,1) (VB,1) 
Paguwi/NNP	(NNP,2) (namin,1) (VBP,1) (root,1) (Paguwi,1) (nsubj,1) (compound,1) (sa,1) 
make/VB	(root,1) (VB,1) (make,1) 
holiday/NN	(NN,1) (took,1) (root,1) (VBD,1) (dobj,1) (holiday,1) 
tuwa/NN	(NN,1) (NNP,1) (VBP,1) (root,1) (pag,1) (nsubj,1) (tuwa,1) (compound,1) (sa,1) 
second/JJ	(NN,1) (JJ,1) (driving,1) (nmod:by,1) (root,1) (VBG,1) (sem,1) (amod,1) (second,1) 
ay/JJ	(NN,1) (JJ,1) (root,1) (ay,1) (VBD,1) (ang,1) (nsubj,1) (amod,1) (bayad,1) 
sobrang/VBG	(VBP,1) (root,1) (VBG,1) (advcl,1) (sa,1) (sobrang,1) 
needed/VBD	(NNP,1) (Mantra,1) (needed,1) (root,1) (VBD,1) (parataxis,2) (do,1) (VB,1) 
someone/NN	(NN,1) (expect,1) (someone,1) (root,1) (conj:and,1) (VB,1) 
unfolding/VBG	(unfolding,1) (root,1) (VBG,1) 
