word/NN	(NN,1) (root,1) (word,1) 
Mister/NNP	(NNP,2) (root,1) (Mister,1) (Policeman,1) (compound,1) 
post/VB	(post,1) (VBP,1) (IN,1) (root,1) (parataxis,1) (VB,1) (^,1) (off,1) (xcomp,1) 
let/VBD	(sucks,1) (ccomp,1) (root,1) (VBD,1) (let,1) (advcl,1) (says,1) (VBZ,2) 
noises/NNS	(NNS,1) (get,1) (root,1) (conj:and,1) (noises,1) (VB,2) (dobj,1) (make,1) 
wood/NN	(NN,2) (piece,1) (nmod:of,1) (root,1) (was,1) (VBD,1) (wood,1) (nsubj,1) 
observar/NN	(NN,1) (NNS,1) (root,1) (ustedes,1) (detras,1) (dobj,1) (observar,1) (compound,1) (VBZ,1) 
baby/NN	(NN,1) (told,1) (root,1) (me,1) (baby,1) (VBD,1) (dobj,1) (dep,1) (PRP,1) 
ME/VB	(root,1) (ME,1) (parataxis,1) (VB,1) (says,1) (VBZ,1) 
Oh/UH	(UH,1) (yea,1) (root,1) (Oh,1) (VB,1) (discourse,1) 
opinion/NN	(NN,2) (root,1) (advcl,1) (objective,1) (opinion,1) 
!?/NNP	(NNP,1) (NNS,1) (okei,1) (root,1) (!?,1) (appos,1) 
guest/NN	(NN,2) (wrote,1) (root,1) (book,1) (VBD,1) (guest,1) (nmod:on,1) (compound,1) 
fighting/NN	(NN,2) (acl:relcl,1) (Company,1) (set,1) (VBN,1) (rejecting,1) (fighting,1) (VB,1) (root,1) (VBG,1) (advcl,2) (end,1) (dobj,1) 
IT/NNP	(NNP,2) (root,1) (UGLY,1) (IT,1) (dobj,1) (says,1) (compound,1) (VBZ,1) 
my/PRP$	(NN,1) (PRP$,1) (nmod:poss,1) (root,1) (blog,1) (my,1) 
cashier/NNP	(NN,1) (death,1) (received,1) (VB,1) (got,1) (compound,1) (dep,1) (NNP,1) (torture,1) (ccomp,1) (root,1) (cashier,1) (VBD,2) (dobj,1) 
laughs/VBZ	(NN,1) (acl:relcl,1) (root,1) (laughs,1) (thing,1) (VBZ,1) 
American/JJ	(NN,1) (JJ,1) (Company,1) (American,1) (root,1) (amod,1) 
comes/VBZ	(root,1) (comes,1) (VBZ,1) 
layouts/NNS	(NN,1) (acl:relcl,1) (making,1) (NNS,1) (root,1) (VBG,1) (dobj,1) (thing,1) (layouts,1) 
realy/RB	(RB,1) (advmod,1) (wrote,1) (root,1) (VBD,1) (realy,1) 
linda/JJ	(JJ,1) (de,1) (NNP,1) (VBP,1) (root,1) (parque,1) (nsubj,1) (amod,1) (linda,1) 
started/VBD	(NN,1) (acl:relcl,1) (CD,1) (NNS,1) (nummod,1) (nmod:of,1) (blocks,1) (root,1) (one,1) (VBD,1) (started,1) (word,1) 
know/VB	(VBP,1) (root,1) (know,1) (VB,1) (dont,1) (xcomp,1) 
Ugh/NNP	(NNP,1) (VBP,1) (root,1) (Ugh,1) (I,1) (nsubj,1) (dont,1) (dep,1) (PRP,1) 
off/IN	(VBP,1) (IN,1) (root,1) (parataxis,1) (^,1) (off,1) 
couch/NN	(NN,1) (NNP,1) (root,1) (Policeman,1) (couch,1) (VBG,1) (acl,1) (nmod:on,1) (sitting,1) 
seen/VBN	(VBN,1) (root,1) (seen,1) 
Iraqi/JJ	(JJ,1) (NNP,1) (VBN,1) (caused,1) (root,1) (Iraqi,1) (Sadr,1) (nmod:agent,1) (amod,1) 
tv/NN	(NN,1) (NNS,1) (tv,1) (root,1) (VBD,1) (had,1) (dobj,1) (compound,1) (couches,1) 
creer/NN	(NN,2) (q,1) (unificar,1) (VBP,1) (root,1) (creer,1) (nsubj,1) (compound,1) 
end/VB	(NN,1) (acl:relcl,1) (Company,1) (set,1) (VBN,1) (rejecting,1) (root,1) (VBG,1) (advcl,2) (end,1) (VB,1) 
gum/NN	(NN,1) (ate,1) (root,1) (VBD,2) (dobj,1) (got,1) (dep,1) (gum,1) 
all/RB	(getting,1) (all,1) (RB,1) (give,1) (advmod,1) (VBP,1) (trying,1) (root,1) (VBG,2) (conj:and,1) (dep,1) 
sucked/VBN	(NNS,1) (VBN,1) (VBP,1) (sucked,1) (mean,1) (paintings,1) (root,1) (acl,1) (dobj,1) 
happy/JJ	(listening,1) (JJ,1) (get,1) (root,1) (happy,1) (VBG,1) (conj:and,1) (VB,2) (make,1) (xcomp,1) (dep,1) 
infront/NN	(but,1) (CC,1) (cc,1) (NN,3) (acl:relcl,1) (VBP,2) (conj,1) (part,1) (rememner,1) (room,1) (infront,1) (ccomp,1) (root,1) (nsubj,1) (dont,1) 
im/VBP	(im,1) (VBP,1) (root,1) 
its/PRP$	(PRP$,1) (like,1) (VBP,1) (root,1) (its,1) (nsubj,1) 
bored/VBN	(VBN,1) (root,1) (VBD,1) (got,1) (bored,1) (xcomp,1) 
para/NN	(NN,2) (NNS,1) (ccomp,1) (para,1) (root,1) (escaleras,1) (ustedes,1) (al,1) (dobj,1) (compound,2) (VBZ,2) (las,1) 
arriving/VBG	(root,1) (VBD,1) (VBG,1) (advcl,1) (arriving,1) (migrate,1) 
Viva/JJ	(JJ,1) (Viva,1) (root,1) (says,1) (xcomp,1) (VBZ,1) 
City/NNP	(NNP,2) (root,1) (Policeman,1) (City,1) (compound,1) 
im/RB	(listening,1) (RB,1) (advmod,1) (im,1) (get,1) (root,1) (VBG,1) (conj:and,1) (VB,2) (make,1) (xcomp,1) 
do/VB	(JJ,1) (sure,1) (ccomp,1) (im,1) (VBP,1) (root,1) (do,1) (VB,1) (xcomp,1) 
inside/IN	(FW,1) (VBP,1) (IN,1) (root,1) (know,1) (i,1) (nsubj,1) (inside,1) (case,1) 
20/CD	(NN,1) (die,1) (nmod:at,1) (CD,1) (told,1) (going,1) (nmod:of,1) (conj:and,1) (VB,1) (xcomp,1) (root,1) (VBD,1) (VBG,1) (age,1) (20,1) 
es/NN	(NN,2) (VBP,1) (yo,1) (root,1) (nsubj,1) (compound,1) (algo,1) (es,1) 
ice/NN	(NN,2) (ate,1) (root,1) (VBD,2) (cream,1) (ice,1) (dobj,1) (got,1) (compound,1) (dep,1) 
mom/NN	(NN,1) (NNP,1) (root,1) (Policeman,1) (VBG,1) (mom,1) (acl,1) (nsubj,1) (sitting,1) 
listening/VBG	(listening,1) (get,1) (root,1) (VBG,1) (conj:and,1) (VB,2) (make,1) (xcomp,1) 
-RRB-/NNS	(NNS,1) (Tell,1) (root,1) (-RRB-,1) (VB,1) (nsubj,1) 
one/CD	(NN,1) (CD,1) (nummod,1) (root,1) (one,1) (word,1) 
urlLink/VBP	(VBP,1) (root,1) (urlLink,1) 
funny/JJ	(NN,1) (JJ,1) (told,1) (root,1) (me,1) (VBD,1) (roberto,1) (dobj,1) (nsubj,1) (amod,1) (funny,1) (PRP,1) 
count/NN	(NN,2) (root,1) (count,1) (cant,1) (parataxis,1) (dobj,1) (word,1) (VBZ,1) 
candy/NN	(NN,1) (ate,1) (candy,1) (root,1) (VBD,2) (dobj,1) (got,1) (dep,1) 
docking/NN	(NN,3) (nmod:at,1) (VBN,1) (looked,1) (acl,1) (got,1) (compound,1) (home,1) (docking,1) (root,1) (station,1) (VBD,1) (nsubj,1) 
really/RB	(RB,1) (advmod,1) (VBN,1) (VBP,1) (root,1) (know,1) (parataxis,1) (fucked,1) (really,1) 
ran/VBD	(root,1) (VBD,2) (had,1) (conj:and,1) (ran,1) 
tell/VB	(ccomp,1) (told,1) (root,1) (tell,1) (VBD,1) (Let,1) (VB,2) (dep,1) 
final/JJ	(JJ,1) (NNS,1) (ccomp,1) (root,1) (escaleras,1) (final,1) (ustedes,1) (al,1) (dobj,1) (amod,1) (VBZ,2) 
Buba/NNP	(NNP,1) (Tell,1) (root,1) (VB,1) (dobj,1) (Buba,1) 
how/WRB	(how,1) (advmod,1) (See,1) (fly,1) (ccomp,1) (VBP,1) (WRB,1) (root,1) (VB,1) 
assignments/NNS	(NN,1) (NNS,1) (assignments,1) (im,1) (VBP,1) (root,1) (one,1) (finish,1) (acl,1) (dobj,2) (VB,1) 
infesting/VBG	(NN,1) (NNS,1) (nmod:of,1) (root,1) (VBG,1) (bunch,1) (acl,1) (dobj,1) (scks,1) (gringos,1) (VBZ,1) (infesting,1) 
y/NN	(NN,1) (de,1) (NNP,1) (VBP,1) (root,1) (y,1) (parque,1) (nsubj,1) (compound,1) 
clothes/NNS	(NN,1) (NNS,1) (nmod:with,1) (root,1) (label,1) (clothes,1) 
fucked/VBN	(VBN,1) (VBP,1) (root,1) (know,1) (parataxis,1) (fucked,1) 
many/JJ	(JJ,1) (NNS,1) (blogs,1) (writing,1) (root,1) (VBG,1) (dobj,1) (many,1) (amod,1) 
blocks/NNS	(NN,1) (CD,1) (NNS,1) (nummod,1) (nmod:of,1) (blocks,1) (root,1) (one,1) (word,1) 
read/VBD	(read,1) (root,1) (VBD,1) 
habve/JJ	(NN,3) (JJ,1) (give,1) (money,1) (VBP,1) (work,1) (root,1) (nsubj,1) (amod,1) (compound,2) (doesnt,1) (habve,1) 
ratio/NN	(NN,2) (root,1) (nsubj,1) (objective,1) (ratio,1) 
back/RP	(compound:prt,1) (wan,1) (VBP,1) (root,1) (go,1) (back,1) (VB,1) (xcomp,1) (RP,1) 
write/VB	(VBP,1) (want,1) (root,1) (VB,1) (write,1) (xcomp,1) 
anymore/RB	(RB,1) (advmod,1) (VBN,1) (root,1) (VBG,1) (advcl,1) (talking,1) (anymore,1) (scared,1) 
local/JJ	(NN,2) (JJ,1) (nmod:of,1) (acl,1) (amod,1) (scks,1) (local,1) (VBZ,1) (infesting,1) (mcdonald,1) (NNS,1) (root,1) (VBG,1) (bunch,1) (dobj,2) (gringos,1) 
Ms./NNP	(NNP,2) (VBN,1) (Post,1) (root,1) (nmod:to,1) (Ms.,1) (VBG,1) (advcl,1) (talking,1) (compound,1) (scared,1) 
diganme/JJ	(JJ,1) (NNP,1) (NNS,1) (diganme,1) (okei,1) (root,1) (amod,1) (!?,1) (appos,1) 
's/VBZ	(VBN,1) (root,1) (auxpass,1) (filled,1) ('s,1) (VBZ,1) 
generally/RB	(RB,1) (conj:but,1) (advmod,1) (VBP,1) (root,1) (start,1) (VB,1) (shouldve,1) (generally,1) 
wishlist/NN	(NN,2) (image,1) (wishlist,1) (root,1) (nmod:for,1) 
damn/NN	(damn,1) (NN,1) (give,1) (VBP,1) (root,1) (dobj,1) 
rangers/NNS	(NNS,1) (rangers,1) (root,1) 
tracks/VBZ	(root,1) (tracks,1) (VBZ,1) 
wrong/JJ	(NN,1) (JJ,1) (acl:relcl,1) (give,1) (VBP,1) (work,1) (root,1) (nsubj,1) (wrong,1) 
so/IN	(VBP,1) (IN,1) (hes,1) (root,1) (so,1) (dep,1) 
has/VBZ	(ccomp,1) (Tell,1) (root,1) (enjoy,1) (advcl,1) (has,1) (VB,2) (VBZ,1) 
things/NNS	(RB,1) (advmod,1) (NNS,1) (nmod:npmod,1) (root,1) (now,1) (things,1) (ok,1) (VB,1) 
Sadr/NNP	(NNP,1) (VBN,1) (caused,1) (root,1) (Sadr,1) (nmod:agent,1) 
Allan/NNP	(kicking,1) (NNP,2) (VBN,1) (root,1) (Poe,1) (Allan,1) (VBG,1) (dobj,1) (compound,1) (seen,1) (dep,1) 
aphex/VB	(listening,1) (get,1) (root,1) (aphex,1) (VBG,1) (conj:and,1) (VB,3) (make,1) (xcomp,2) 
urlLink/NN	(NN,1) (im,1) (VBP,1) (root,1) (nsubj,1) (urlLink,1) 
fraction/NN	(NN,1) (told,1) (root,1) (VBD,1) (dep,1) (fraction,1) 
doctors/NNS	(NN,1) (NNS,1) (VBP,1) (doctors,1) (want,1) (root,1) (nsubj,1) (compound,1) (dont,1) 
scared/VBN	(VBN,1) (root,1) (scared,1) 
but/CC	(but,1) (CC,1) (cc,1) (VBP,1) (root,1) (dont,1) 
his/PRP$	(NNS,1) (his,1) (PRP$,1) (nmod:poss,1) (root,1) (sat,1) (legs,1) (VBD,2) (got,1) (nmod:on,1) (dep,1) 
Maybe/RB	(RB,1) (Maybe,1) (root,1) 
yellow/JJ	(JJ,1) (NNS,1) (shoelaces,1) (root,1) (yellow,1) (VBD,2) (conj:and,1) (dobj,1) (amod,1) (got,1) (put,1) 
That/DT	(That,1) (DT,1) (root,1) (nsubj,1) (says,1) (VBZ,1) 
torture/VB	(torture,1) (ccomp,1) (root,1) (VBD,2) (received,1) (VB,1) (got,1) (dep,1) 
writen/NN	(NN,2) (root,1) (writen,1) (VBD,1) (had,1) (dobj,1) (compound,1) (ve,1) 
monopolio/NN	(NN,1) (de,1) (NNP,1) (VBP,1) (root,1) (parque,1) (monopolio,1) (nsubj,1) (compound,1) 
listened/VBD	(root,1) (VBD,2) (listened,1) (got,1) (dep,1) 
gift/NN	(gift,1) (NN,1) (root,1) (VBD,2) (gave,1) (dobj,1) (got,1) (dep,1) 
persons/NNS	(persons,1) (NNS,2) (root,1) (ones,1) (conj:and,1) 
whistling/VBG	(NN,1) (acl:relcl,1) (CD,1) (nummod,1) (nmod:of,1) (whistling,1) (blocks,1) (one,1) (started,1) (xcomp,1) (NNS,1) (root,1) (VBD,1) (VBG,1) (word,1) 
Gay/NNP	(screwed,1) (NNP,2) (VBN,1) (ccomp,1) (yea,1) (root,1) (J,1) (VB,1) (nsubj,1) (compound,1) (Gay,1) 
6:30/CD	(conj:but,1) (CD,1) (nmod:at,1) (VBP,1) (root,1) (start,1) (6:30,1) (VB,1) (shouldve,1) 
J/NNP	(screwed,1) (NNP,1) (VBN,1) (ccomp,1) (yea,1) (root,1) (J,1) (VB,1) (nsubj,1) 
before/RB	(NN,1) (DT,1) (RB,1) (advmod,1) (before,1) (root,1) (this,1) (blog,1) (nsubj,1) 
basic/JJ	(NN,1) (JJ,1) (root,1) (blog,1) (basic,1) (amod,1) 
else/RB	(remember,1) (RB,1) (VBP,2) (else,1) (root,1) (conj:and,1) (xcomp,1) (bye,1) 
must/MD	(aux,1) (root,1) (MD,1) (pay,1) (must,1) (VB,1) 
found/VBD	(found,1) (root,1) (VBD,1) 
lo/JJ	(NN,1) (JJ,1) (lo,1) (root,1) (VBD,1) (had,1) (dobj,1) (amod,1) (ve,1) 
objective/NN	(NN,1) (root,1) (objective,1) 
party/NN	(NN,1) (root,1) (was,1) (VBD,1) (nsubj,1) (party,1) 
remembered/VBD	(remembered,1) (VBP,1) (root,1) (VBD,1) (xcomp,1) (bye,1) 
're/VBP	(NN,1) (Company,1) (VBP,1) (cop,1) (root,1) ('re,1) 
care/VB	(root,1) (VB,1) (care,1) 
im/NN	(NN,1) (im,1) (VBP,1) (root,1) (know,1) (nsubj,1) 
escaleras/NNS	(NNS,1) (ccomp,1) (root,1) (escaleras,1) (ustedes,1) (al,1) (dobj,1) (VBZ,2) 
wooden/JJ	(NN,1) (JJ,1) (wooden,1) (root,1) (VBD,1) (had,1) (carving,1) (nsubj,1) (amod,1) 
world/NN	(NN,2) (move,1) (world,1) (nmod:of,1) (root,1) (nmod:because,1) (conj:and,1) (VB,1) (explanation,1) (says,1) (VBZ,1) 
camera/NN	(NN,1) (root,1) (VBD,2) (used,1) (camera,1) (dobj,1) (got,1) (dep,1) 
about/RB	(RB,1) (conj:but,1) (CD,1) (nmod:at,1) (advmod,1) (VBP,1) (root,1) (start,1) (6:30,1) (about,1) (VB,1) (shouldve,1) 
PORQUE/NNP	(NNP,2) (NNS,1) (okei,1) (root,1) (PORQUE,1) (compound,1) (!?,1) (appos,1) 
also/RB	(RB,1) (advmod,1) (VBN,1) (root,1) (auxpass,1) (filled,1) (also,1) ('s,1) (VBZ,1) 
do/VBP	(VBP,1) (aux,1) (root,1) (do,1) (VB,1) (care,1) 
Sky/NNP	(Sky,1) (NNP,1) (See,1) (fly,1) (ccomp,1) (nmod:in,1) (VBP,1) (root,1) (VB,1) 
we/PRP	(root,1) (VB,1) (nsubj,1) (listen,1) (we,1) (PRP,1) 
people/NNS	(NNS,1) (root,1) (dobj,1) (says,1) (people,1) (VBZ,1) 
told/VBD	(told,1) (root,1) (VBD,1) 
are/VBP	(NNS,1) (are,1) (VBP,1) (cop,1) (root,1) (ones,1) 
algun/JJ	(NN,2) (JJ,1) (q,1) (pense,1) (unificar,1) (VBP,1) (root,1) (nmod:en,1) (nsubj,1) (algun,1) (amod,1) 
afamada/NN	(NN,4) (acl:relcl,1) (construccion,1) (afueras,1) (ustedes,1) (compound,1) (suyo,1) (appos,1) (VBZ,2) (root,1) (afamada,1) (volviendo,1) (nsubj,1) (dobj,1) 
Hut/NNP	(NN,1) (death,1) (Hut,1) (received,1) (VB,1) (got,1) (compound,1) (dep,1) (NNP,1) (torture,1) (ccomp,1) (root,1) (VBD,2) (dobj,1) 
ve/NN	(NN,1) (root,1) (VBD,1) (had,1) (dobj,1) (ve,1) 
ive/NN	(NN,1) (root,1) (VBD,1) (ive,1) (nsubj,1) (got,1) 
chilli/NNS	(NN,1) (conj:but,1) (NNS,1) (mouth,1) (VBP,1) (root,1) (nsubj,1) (dont,1) (chilli,1) 
got/VBD	(root,1) (VBD,1) (got,1) 
filled/VBN	(VBN,1) (root,1) (filled,1) 
moan/VB	(FW,1) (VBN,1) (ccomp,1) (VBP,1) (root,1) (know,1) (i,1) (acl,1) (nsubj,1) (moan,1) (VB,1) (dont,1) 
going/VBG	(told,1) (going,1) (root,1) (VBD,1) (VBG,1) (conj:and,1) 
work/NN	(NN,1) (give,1) (VBP,1) (work,1) (root,1) (nsubj,1) 
algo/NN	(NN,1) (VBP,1) (yo,1) (root,1) (nsubj,1) (algo,1) 
get/VBP	(VBN,1) (invert,1) (VBP,1) (root,1) (get,1) (conj:and,1) 
car/NN	(NN,1) (car,1) (root,1) (VBD,1) (got,1) (nmod:on,1) 
LJ/NN	(NN,1) (nmod:in,1) (post,1) (VBP,1) (IN,1) (root,1) (parataxis,1) (VB,1) (^,1) (off,1) (xcomp,1) (LJ,1) 
parental/JJ	(JJ,1) (NNP,1) (root,1) (wont,1) (parataxis,1) (invite,1) (VB,1) (nsubj,1) (amod,1) (tracks,1) (parental,1) (VBZ,1) 
music/NN	(NN,1) (music,1) (root,1) (VBD,2) (nmod:to,1) (listened,1) (got,1) (dep,1) 
Lucy/NNP	(NNP,1) (See,1) (fly,1) (ccomp,1) (VBP,1) (root,1) (nmod:like,1) (Lucy,1) (VB,1) 
discrimination/NN	(NN,1) (root,1) (discrimination,1) (nsubj,1) (irritates,1) (VBZ,1) 
Tell/VB	(Tell,1) (root,1) (VB,1) 
North/NNP	(NNP,2) (nmod:in,1) (root,1) (America,1) (VBD,1) (North,1) (compound,1) (migrate,1) 
forest/NN	(NN,1) (forest,1) (root,1) (VBD,1) (VBG,1) (advcl,1) (arriving,1) (dobj,1) (migrate,1) 
15-25/CD	(NN,1) (acl:relcl,1) (CD,1) (chance,1) (nummod,1) (15-25,1) (enjoy,1) (VB,2) (years,1) (VBZ,1) (NNS,1) (ccomp,1) (Tell,1) (root,1) (advcl,1) (has,1) (dobj,1) 
thats/NNS	(NNS,1) (root,1) (says,1) (dep,1) (VBZ,1) (thats,1) 
blogs/NNS	(NNS,1) (blogs,1) (writing,1) (root,1) (VBG,1) (dobj,1) 
life/NN	(NN,2) (told,1) (nmod:of,1) (root,1) (VBD,1) (dep,1) (life,1) (fraction,1) 
3/CD	(NN,2) (image,1) (CD,1) (3,1) (nummod,1) (wishlist,1) (root,1) (nmod:for,1) 
Carbide/NNP	(Carbide,1) (NNP,1) (VBP,1) (nmod:about,1) (root,1) (know,1) 
?!/NNS	(study,1) (?!,1) (NNS,1) (VBP,2) (IN,1) (root,1) (parataxis,2) (nmod:for,1) (^,1) (off,1) 
age/NN	(NN,1) (die,1) (nmod:at,1) (told,1) (going,1) (root,1) (VBD,1) (VBG,1) (conj:and,1) (VB,1) (xcomp,1) (age,1) 
peeps/NNS	(NNS,1) (VBP,1) (want,1) (root,1) (peeps,1) (VB,1) (dobj,1) (bore,1) (xcomp,1) 
move/VB	(move,1) (root,1) (conj:and,1) (VB,1) (says,1) (VBZ,1) 
in/IN	(NN,1) (conj:but,1) (mouth,1) (VBP,1) (in,1) (IN,1) (root,1) (dont,1) (case,1) 
just/RB	(RB,1) (advmod,1) (VBP,1) (want,1) (root,1) (just,1) 
two/CD	(NN,1) (CD,1) (NNS,1) (VBP,1) (nmod:with,1) (nummod,1) (mean,1) (root,1) (palms,1) (dobj,1) (house,1) (two,1) 
know/VBP	(VBP,1) (root,1) (know,1) 
Only/RB	(JJ,1) (RB,1) (advmod,1) (NNS,1) (root,1) (ones,1) (few,1) (Only,1) (nsubj,1) 
bubble/NN	(NN,2) (ate,1) (bubble,1) (root,1) (VBD,2) (dobj,1) (got,1) (compound,1) (dep,1) (gum,1) 
greedy/JJ	(NN,1) (JJ,1) (NNS,1) (nmod:of,1) (root,1) (greedy,1) (bunch,1) (dobj,1) (amod,1) (scks,1) (bastards,1) (VBZ,1) 
more/JJR	(NN,1) (JJR,1) (more,1) (root,1) (amod,1) (word,1) 
received/VBD	(root,1) (VBD,2) (received,1) (got,1) (dep,1) 
advisory/JJ	(JJ,1) (NNP,1) (advisory,1) (root,1) (wont,1) (parataxis,1) (invite,1) (VB,1) (nsubj,1) (amod,1) (tracks,1) (VBZ,1) 
packets/NNS	(NNS,1) (ate,1) (root,1) (VBD,2) (dobj,1) (got,1) (dep,1) (packets,1) 
basically/RB	(RB,1) (root,1) (basically,1) (lets,1) (dep,1) (VBZ,1) 
first/JJ	(NN,1) (JJ,1) (im,1) (VBP,1) (root,1) (one,1) (dobj,1) (amod,1) (first,1) 
wan/VBP	(wan,1) (VBP,1) (root,1) 
next/JJ	(next,1) (JJ,1) (root,1) (was,1) (VBD,1) (nsubj,1) 
with/IN	(with,1) (NNS,1) (IN,1) (root,1) (dobj,1) (says,1) (people,1) (case,1) (VBZ,1) 
Man/RB	(RB,1) (advmod,1) (VBN,1) (root,1) (Man,1) (seen,1) 
I/PRP	(VBP,1) (root,1) (I,1) (nsubj,1) (dont,1) (PRP,1) 
die/VBP	(NN,1) (acl:relcl,1) (die,1) (forest,1) (VBP,1) (root,1) (VBD,1) (VBG,1) (advcl,1) (arriving,1) (dobj,1) (migrate,1) 
thought/NN	(NN,1) (NNS,1) (thought,1) (root,1) (media,1) (appos,1) 
Edgar/NNP	(kicking,1) (NNP,2) (Edgar,1) (VBN,1) (root,1) (Poe,1) (VBG,1) (dobj,1) (compound,1) (seen,1) (dep,1) 
suyo/NN	(NN,1) (root,1) (ustedes,1) (nsubj,1) (suyo,1) (VBZ,1) 
bore/VB	(VBP,1) (want,1) (root,1) (VB,1) (bore,1) (xcomp,1) 
Many/JJ	(JJ,1) (NNS,1) (root,1) (VBD,1) (Many,1) (birds,1) (nsubj,1) (amod,1) (migrate,1) 
Pretty/NNP	(NN,1) (NNP,2) (root,1) (Policeman,1) (VBG,1) (acl,1) (policemen,1) (dobj,1) (compound,1) (sitting,1) (Pretty,1) 
llegando/NN	(NN,1) (ccomp,1) (root,1) (llegando,1) (ustedes,1) (al,1) (nsubj,1) (VBZ,2) 
anything/NN	(remember,1) (RB,1) (NN,1) (VBP,2) (else,1) (root,1) (conj:and,1) (nsubj,1) (xcomp,1) (bye,1) (anything,1) 
there/RB	(RB,1) (advmod,1) (root,1) (there,1) (VBD,1) (got,1) 
find/VB	(tries,1) (find,1) (root,1) (VB,1) (xcomp,1) (VBZ,1) 
indifference/NN	(NN,1) (indifference,1) (root,1) (nsubj,1) (irritates,1) (VBZ,1) 
look/NN	(NN,2) (acl:relcl,1) (making,1) (root,1) (VBG,1) (dobj,1) (thing,1) (look,1) 
lo/NN	(NN,2) (lo,1) (root,1) (VBD,1) (had,1) (dobj,1) (compound,1) (ve,1) 
song/NN	(song,1) (NN,1) (root,1) (nsubj,1) (says,1) (VBZ,1) 
revive/VB	(root,1) (VBD,1) (revive,1) (VB,1) (got,1) (xcomp,1) 
ONE/CD	(CD,1) (get,1) (root,1) (ONE,1) (VB,1) (nsubj,1) 
plants/NNS	(NN,1) (acl:relcl,1) (Company,1) (NNS,1) (set,1) (VBN,1) (plants,1) (root,1) (dobj,1) 
Soundtrack/NNP	(NNP,1) (Soundtrack,1) (root,1) (parataxis,1) (tracks,1) (VBZ,1) 
NO/DT	(DT,1) (CD,1) (NO,1) (neg,1) (get,1) (root,1) (ONE,1) (VB,1) (nsubj,1) 
contacts/NNS	(JJ,1) (screwed,1) (NNS,1) (VBN,1) (ccomp,1) (yea,1) (nmod:with,1) (root,1) (nmod,1) (VB,1) (contacts,1) (little,1) 
make/VB	(get,1) (root,1) (conj:and,1) (VB,2) (make,1) 
shouldve/VBP	(VBP,1) (root,1) (shouldve,1) 
bastards/NNS	(NN,1) (NNS,1) (nmod:of,1) (root,1) (bunch,1) (dobj,1) (scks,1) (bastards,1) (VBZ,1) 
remember/VBP	(remember,1) (VBP,2) (root,1) (conj:and,1) (bye,1) 
store/NN	(NN,1) (found,1) (ccomp,1) (sells,1) (root,1) (VBD,1) (store,1) (nsubj,1) (VBZ,1) 
someone/NN	(NN,3) (im,1) (VBP,1) (one,1) (nmod:before,1) (acl,1) (VB,1) (dep,1) (hour,1) (someone,1) (root,1) (finish,1) (dobj,1) 
stories/NNS	(NNS,1) (stories,1) (writing,1) (root,1) (VBG,1) (dobj,1) 
