returns/VBZ	(root,1) (returns,1) (VBZ,1) 
into/IN	(NN,1) (VBN,1) (nmod:into,1) (nmod:of,1) (IN,1) (minutes,1) (holder,1) (acl,1) (VBZ,1) (into,1) (NNS,2) (converted,1) (root,1) (Watch,1) (dobj,1) (Shrek2,1) (case,1) 
ago/RB	(RB,1) (ccomp,1) (IN,1) (root,1) (came,1) (ago,1) (VBD,1) (off,1) (dep,1) 
going/VBG	(NN,1) (going,1) (root,1) (VBG,1) (parataxis,1) (improvement,1) 
out/IN	(IN,1) (root,1) (out,1) 
Tomorrow/NNP	(NNP,1) (PRP$,1) (ccomp,1) (VBP,1) (root,1) (my,1) (nsubj,1) (Tomorrow,1) (urlLink,1) 
wish/VBP	(wish,1) (ccomp,1) (VBP,1) (mean,1) (root,1) (VB,1) 
Palace/NNP	(NNP,1) (went,1) (Palace,1) (root,1) (VBD,1) (nmod:to,1) 
1995/CD	(NNP,1) (CD,1) (VBN,1) (nmod:tmod,1) (1995,1) (VBP,1) (nummod,1) (root,1) (registered,1) (google,1) (dep,1) (August,1) 
musings/VBZ	(root,1) (musings,1) (VBZ,1) 
subscription/NN	(NN,1) (VBP,1) (nmod:by,1) (get,1) (root,1) (subscription,1) 
effect/VB	(JJ,1) (root,1) (effect,1) (safe,1) (advcl,1) (VB,1) 
returns/NNS	(NN,1) (NNP,1) (NNS,1) (nmod:in,2) (root,1) (championship,1) (have,1) (England,1) (returns,1) (VB,1) (dobj,1) 
whole/NN	(JJ,1) (resulted,1) (acl:relcl,1) (gaining,1) (NN,1) (3rd,1) (whole,1) (root,1) (came,1) (VBD,2) (VBG,1) (advcl,1) (dobj,2) 
blogs/NNS	(NNS,1) (blogs,1) (root,1) (have,1) (VB,1) (dobj,1) 
position/NN	(NN,1) (nmod:with,1) (root,1) (do,1) (position,1) (VB,2) (make,1) (xcomp,1) 
Congrats/NNS	(NNS,1) (VBP,1) (root,1) (match,1) (Congrats,1) (nsubj,1) 
life/NN	(NN,3) (nmod:in,1) (nmod:of,1) (nmod:about,1) (root,1) (say,1) (place,1) (VB,1) (circle,1) (life,1) 
1963/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (1963,1) (month,1) (root,1) (VBD,1) (nsubj,1) 
plain/RB	(JJ,1) (RB,1) (advmod,1) (ccomp,1) (bad,1) (plain,1) (root,1) (is,1) (VBZ,1) 
in/IN	(NN,1) (in,1) (IN,1) (league,1) (root,1) (case,1) 
per/IN	(NN,1) (CD,1) (VBN,1) (movie,1) (IN,1) (is,1) (25m,1) (VBZ,1) (ccomp,1) (root,1) (paid,1) (nmod:per,1) (dobj,1) (per,1) (case,1) 
inter-process/JJ	(NN,4) (implements,1) (acl:relcl,1) (JJ,1) (brought,1) (VBN,2) (auxpass,1) (was,1) (used,1) (acl,1) (nmod:for,1) (amod,1) (VBZ,1) (overflow,1) (library,1) (nmod:in,1) (notation,1) (inter-process,1) (root,1) (VBD,1) (nsubj,1) (dobj,1) (communication,1) 
just/RB	(NN,1) (RB,1) (advmod,1) (root,1) (just,1) (urlLink,1) 
etc./FW	(NN,2) (acl:relcl,1) (rebel,1) (drugs,1) (part,1) (appos,1) (VBZ,1) (FW,1) (NNS,1) (ccomp,1) (etc.,1) (root,1) (protesting,1) (VBG,1) (advcl,1) (wishes,1) (dobj,1) 
brought/VBN	(brought,1) (VBN,1) (root,1) 
pleased/JJ	(JJ,1) (root,1) (pleased,1) 
grasscourt/JJ	(NN,1) (JJ,1) (root,1) (championship,1) (have,1) (VB,1) (dobj,1) (grasscourt,1) (amod,1) 
programmed/VBN	(VBN,1) (root,1) (programmed,1) 
James/NNP	(JJ,1) (NNP,1) (convinced,1) (James,1) (root,1) (nsubj,1) 
Georgii/NNP	(NN,1) (NNP,2) (Georgii,1) (root,1) (Polozii,1) (compound,1) (urlLink,1) (dep,1) 
terms/NNS	(JJ,1) (NNS,1) (nmod:in,1) (terms,1) (root,1) (safe,1) 
selection/NN	(NN,2) (?!,1) (selection,1) (root,1) (VBD,1) (dobj,1) (got,1) (compound,1) 
fight/NN	(NN,1) (root,1) (have,1) (them,1) (VB,1) (nmod:for,1) (nsubj,1) (fight,1) (PRP,1) 
urlLink/JJ	(NN,1) (JJ,1) (root,1) (reading,1) (has,1) (nsubj,1) (amod,1) (urlLink,1) (VBZ,1) 
with/IN	(NNP,1) (with,1) (VBP,1) (nmod:with,1) (IN,1) (root,1) (match,1) (Italy,1) (case,1) 
instance/NN	(NN,1) (instance,1) (root,1) (VB,1) (nmod:for,1) (prompt,1) 
My/PRP$	(NN,1) (PRP$,1) (nmod:poss,1) (root,1) (My,1) (word,1) 
I/PRP	(VBP,1) (root,1) (I,1) (nsubj,1) (seem,1) (PRP,1) 
Gerrard/NNP	(NNP,1) (brought,1) (VBN,2) (root,1) (pledged,1) (Gerrard,1) (conj:and,1) (nsubj,1) 
taken/VBN	(NN,1) (Bed,1) (NNP,1) (VBN,1) (VBP,1) (root,1) (taken,1) (Time,1) (acl,1) (nsubj,1) (nmod:for,1) (urlLink,1) 
Asia/NNP	(NN,1) (most,1) (nmod:as,1) (NNP,1) (JJS,1) (Asia,1) (nmod:of,1) (root,1) (blog,1) 
testing/VBG	(NN,1) (root,1) (testing,1) (VBG,1) (acl,1) (urlLink,1) 
paid/VBN	(VBN,1) (ccomp,1) (root,1) (paid,1) (is,1) (VBZ,1) 
anti-virus/NNS	(NNS,2) (root,1) (machines,1) (VB,1) (dobj,1) (make,1) (anti-virus,1) (dep,1) 
received/VBN	(VBN,1) (ccomp,1) (VBP,1) (root,1) (received,1) (urlLink,1) 
took/VBD	(took,1) (NNS,1) (lost,1) (root,1) (VBD,2) (parataxis,1) (advcl,1) (people,1) 
simple/JJ	(JJ,1) (NNS,1) (root,1) (ideas,1) (simple,1) (amod,1) 
Most/JJS	(NNS,1) (JJS,1) (root,1) (Most,1) (amod,1) (people,1) 
anything/NN	(JJ,1) (NN,2) (nmod:by,1) (nmod:of,1) (root,1) (great,1) (way,1) (anything,1) 
there/RB	(RB,1) (advmod,1) (VBP,1) (like,1) (root,1) (there,1) (advcl,1) (VB,1) (account,1) 
find/VB	(JJ,1) (similar,1) (VBN,1) (find,1) (root,1) (conj:and,1) (VB,1) (launched,1) (xcomp,1) 
completely/RB	(JJ,1) (RB,1) (advmod,1) (root,1) (safe,1) (completely,1) 
born/VBN	(VBN,1) (VBP,1) (root,1) (born,1) (urlLink,1) (dep,1) 
Berners-Lee/NN	(NN,1) (VBN,1) (ccomp,1) (Berners-Lee,1) (VBP,1) (root,1) (received,1) (nsubj,1) (urlLink,1) 
deliver/VB	(VBN,1) (root,1) (programmed,1) (deliver,1) (advcl,1) (VB,1) 
dynamic/JJ	(NN,2) (JJ,1) (brought,1) (VBN,1) (auxpass,1) (was,1) (amod,1) (overflow,1) (library,1) (nmod:in,1) (root,1) (VBD,1) (dynamic,1) (nsubj,1) 
d/SYM	(brought,1) (VBN,1) (d,1) (SYM,1) (root,1) (nmod:to,1) (you,1) (dep,1) (PRP,1) 
most/JJS	(NN,1) (most,1) (nmod:as,1) (JJS,1) (root,1) (blog,1) 
mind/NN	(acl:relcl,1) (NN,1) (CD,1) (mind,1) (VBP,2) (parataxis,1) (Do,1) (no.,1) (VB,1) (dep,1) (Lift,1) (NNP,1) (3,1) (root,1) (nsubj,1) (free,1) (dobj,1) 
!!/NN	(!!,1) (NN,1) (root,1) (came,1) (VBD,1) (nsubj,1) 
Well/UH	(UH,1) (root,1) (won,1) (Well,1) (creating,1) (VBD,1) (VBG,1) (dep,1) (discourse,1) 
size/NN	(JJ,1) (NN,1) (VBN,1) (VBP,2) (aux,1) (need,1) (reduced,1) (xcomp,1) (nmod:in,1) (size,1) (root,1) (safe,1) (have,1) (advcl,1) 
Born/VBN	(VBN,1) (Born,1) (root,1) 
13th/NN	(NN,1) (13th,1) (VBN,1) (VBP,1) (root,1) (registered,1) (google,1) (nmod:on,1) (dep,1) 
hands/NNS	(acl:relcl,1) (CD,1) (hands,1) (VBP,2) (parataxis,1) (Do,1) (no.,1) (VB,1) (dep,1) (Lift,1) (NNP,1) (NNS,1) (3,1) (root,1) (nsubj,2) (free,1) 
green/JJ	(NN,1) (JJ,1) (VBN,1) (ccomp,1) (green,1) (nsubjpass,1) (root,1) (paid,1) (is,1) (amod,1) (VBZ,1) (ogre,1) 
%/NN	(NN,1) (%,1) (root,1) (have,1) (VB,1) (nsubj,1) 
escape/NN	(NN,1) (VBN,1) (aux,1) (root,1) (VBD,1) (had,1) (dobj,1) (escape,1) (linked,1) 
word/NN	(NN,1) (root,1) (word,1) 
was/VBD	(brought,1) (VBN,1) (root,1) (auxpass,1) (was,1) (VBD,1) 
could/MD	(aux,1) (could,1) (root,1) (MD,1) (end,1) (VB,1) 
Woodman/NNP	(NNP,1) (NNS,1) (VBP,1) (root,1) (match,1) (nmod:to,1) (Congrats,1) (nsubj,1) (Woodman,1) 
what/WP	(what,1) (root,1) (WP,1) (say,1) (VB,1) (dobj,1) 
Venus/NNP	(JJ,1) (NNP,1) (see,1) (Venus,1) (able,1) (root,1) (VB,1) (dobj,1) (xcomp,1) 
Waveren/NNP	(Waveren,1) (NNP,3) (VBP,1) (Hudde,1) (Shakespeare,1) (root,1) (nsubj,1) (compound,1) (urlLink,1) (appos,1) 
all/DT	(JJ,1) (all,1) (DT,1) (root,1) (nmod:for,1) (great,1) 
sofa/NN	(JJ,1) (NN,1) (nmod:behind,1) (sofa,1) (ccomp,1) (convinced,1) (root,1) (VBD,1) (breeds,1) 
major/JJ	(JJ,1) (CD,1) (NNS,1) (major,1) (nmod:of,1) (one,1) (root,1) (amod,1) (issues,1) 
make/NN	(JJ,1) (NN,1) (root,1) (safe,1) (nmod:regardless_of,1) (make,1) 
websites/NNS	(NNS,1) (root,1) (have,1) (websites,1) (VB,1) (nsubj,1) 
30m/JJ	(NN,1) (30m,1) (JJ,1) (move,1) (VBN,1) (nmod:with,1) (root,1) (amod,1) (linked,1) 
Never/RB	(RB,1) (neg,1) (VBP,1) (Never,1) (root,1) (observe,1) 
never/RB	(NN,1) (RB,1) (never,1) (neg,1) (month,1) (root,1) 
taking/VBG	(broken,1) (VBN,1) (root,1) (VBG,1) (advcl,1) (taking,1) 
17th/JJ	(acl:relcl,1) (NN,1) (JJ,1) (CD,1) (named,1) (VBN,1) (VBP,1) (album,1) (no.,1) (amod,1) (17th,1) (dep,1) (nmod:from,1) (NNP,1) (2,1) (October,1) (nmod:tmod,1) (root,1) (VBD,1) (dobj,1) (released,1) 
lazy/JJ	(JJ,1) (lazy,1) (root,1) (advcl,1) (VB,1) (urlLink,1) 
season/NN	(NN,3) (root,1) (unbeaten,1) (season,1) (compound,1) (urlLink,1) (dep,1) 
Page/NNP	(NNP,1) (NNS,1) (root,1) (have,1) (Page,1) (founders,1) (VB,1) (nsubj,1) (appos,1) 
circle/NN	(NN,2) (nmod:in,1) (nmod:about,1) (root,1) (say,1) (place,1) (VB,1) (circle,1) 
accurate/JJ	(JJ,1) (accurate,1) (root,1) (is,1) (xcomp,1) (VBZ,1) 
enough/RB	(RB,1) (NNS,1) (chances,1) (root,1) (creating,1) (VBG,1) (enough,1) (dobj,1) (amod,1) 
teams/NNS	(JJ,1) (all,1) (DT,1) (NNS,1) (teams,1) (nmod:of,1) (root,1) (nmod:for,1) (great,1) 
an/DT	(NN,1) (DT,1) (site,1) (det,1) (root,1) (an,1) 
Lyric/NNP	(NNP,1) (VBP,1) (root,1) (Lyric,1) (no.,1) (nsubj,1) 
still/RB	(RB,1) (advmod,1) (still,1) (root,1) (creating,1) (VBG,1) 
!!!/JJ	(JJ,1) (!!!,1) (root,1) (returns,1) (xcomp,1) (VBZ,1) 
World/NNP	(NN,1) (NNP,1) (VBP,1) (get,1) (root,1) (magazine,1) (dobj,1) (World,1) (compound,1) 
by/IN	(NN,1) (brought,1) (VBN,1) (IN,1) (root,1) (by,1) (nmod:agent,1) (case,1) (E-M-A-I,1) 
boys/NNP	(NNP,2) (NNS,1) (Gomarsall,1) (VBP,1) (root,1) (match,1) (nmod:to,1) (boys,1) (Congrats,1) (nsubj,1) (compound,1) 
gigabyte/NN	(NN,1) (provides,1) (root,1) (gigabyte,1) (dobj,1) (VBZ,1) 
70/CD	(NN,1) (acl:relcl,1) (CD,1) (caused,1) (root,1) (VBD',1) (70,1) (nmod:'s,1) (type,1) 
pledged/VBN	(brought,1) (VBN,2) (root,1) (pledged,1) (conj:and,1) 
email/NN	(JJ,1) (NN,1) (sure,1) (VBN,1) (root,1) (VBD,1) (advcl,1) (dobj,1) (sent,1) (happened,1) (dep,1) (email,1) 
OBE/NNP	(NNP,1) (OBE,1) (root,1) (has,1) (dobj,1) (VBZ,1) 
you/PRP	(brought,1) (VBN,1) (root,1) (nmod:to,1) (you,1) (PRP,1) 
championship/NN	(NN,1) (root,1) (championship,1) (have,1) (VB,1) (dobj,1) 
pages/NNS	(NNS,1) (pages,1) (root,1) (have,1) (nmod:to,1) (VB,1) 
Lift/NNP	(CD,1) (NNP,1) (3,1) (VBP,2) (root,1) (parataxis,1) (Do,1) (no.,1) (nsubj,1) (dep,1) (Lift,1) 
Tunnel/NN	(acl:relcl,1) (NN,1) (nmod:as,1) (CD,1) (2,1) (named,1) (Tunnel,1) (VBP,1) (root,1) (VBD,1) (no.,1) (dobj,1) 
Not/RB	(JJ,1) (RB,1) (neg,1) (Not,1) (sure,1) (root,1) 
topics/NNS	(NNS,1) (VBN,1) (topics,1) (root,1) (dissect,1) (programmed,1) (advcl,1) (VB,1) (dobj,1) 
van/NNP	(NNP,3) (van,1) (VBP,1) (Hudde,1) (Shakespeare,1) (root,1) (nsubj,1) (compound,1) (urlLink,1) (appos,1) 
news/NN	(news,1) (NN,1) (Gloucester,1) (root,1) (nsubj,1) (VBZ,1) 
sports/NNS	(NNS,2) (sports,1) (root,1) (earners,1) (compound,1) 
responsible/JJ	(JJ,1) (responsible,1) (root,1) 
waiting/VBG	(JJ,1) (sure,1) (waiting,1) (root,1) (VBG,1) (dep,1) 
influential/JJ	(NN,1) (JJ,1) (VBN,1) (nsubjpass,1) (influential,1) (root,1) (midfielder,1) (amod,1) (linked,1) 
way/NN	(JJ,1) (NN,1) (nmod:by,1) (root,1) (great,1) (way,1) 
up/RB	(JJ,1) (RB,1) (advmod,1) (root,1) (safe,1) (up,1) 
earners/NNS	(NNS,1) (root,1) (earners,1) 
out/RB	(RB,2) (advmod,2) (VBP,1) (like,1) (root,1) (there,1) (advcl,1) (VB,1) (account,1) (out,1) 
templates/NNS	(CD,1) (NNS,1) (nmod:of,1) (one,1) (root,1) (templates,1) 
raed/VB	(JJ,1) (bcuseae,1) (ccomp,1) (root,1) (raed,1) (VB,1) 
urlLink/NNP	(NNP,3) (VBP,1) (Hudde,1) (Shakespeare,1) (root,1) (nsubj,1) (compound,1) (urlLink,2) (appos,1) 
years/NNS	(NN,1) (NNS,1) (month,1) (root,1) (nsubj,1) (years,1) 
too/RB	(JJ,1) (RB,1) (advmod,1) (too,1) (lazy,1) (root,1) (advcl,1) (VB,1) (urlLink,1) 
common/JJ	(NN,1) (JJ,1) (common,1) (nmod:about,1) (root,1) (say,1) (place,1) (VB,1) (amod,1) 
they/PRP	(NN,1) (league,1) (root,1) (nsubj,1) (they,1) (PRP,1) 
Harbour/NNP	(Pilot,1) (NNP,2) (nmod:from,1) (NNS,1) (nmod:with,1) (root,1) (came,1) (Harbour,1) (VBD,1) (winnings,1) (compound,1) 
out/RP	(given,1) (VBN,1) (compound:prt,1) (root,1) (VBD,1) (advcl,1) (deserved,1) (RP,1) (out,1) 
up/RP	(compound:prt,1) (root,1) (loads,1) (VBD,1) (up,1) (RP,1) 
doubt/NN	(JJ,1) (NN,2) (similar,1) (security,1) (increased,1) (VBN,1) (nsubjpass,1) (root,1) (doubt,1) (conj:and,1) (compound,1) 
working/VBG	(JJ,1) (similar,1) (root,1) (working,1) (VBG,1) (conj:and,1) (whilst,1) (xcomp,1) (VBZ,1) 
mail/NN	(NN,1) (NNP,1) (VBN,1) (mail,1) (Born,1) (root,1) (nmod:on,1) (April,1) (dep,1) 
site/NN	(NN,1) (site,1) (root,1) 
week/NN	(NN,1) (week,1) (root,1) (starts,1) (dobj,1) (VBZ,1) 
back/NN	(NN,2) (going,1) (root,1) (back,1) (VBG,1) (parataxis,1) (improvement,1) (dobj,1) 
as/RB	(JJ,1) (RB,1) (advmod,1) (as,1) (root,1) (safe,1) 
historians/NNS	(NN,1) (acl:relcl,1) (historians,1) (named,1) (NNS,1) (VBN,1) (root,1) (makes,1) (nmod:during,1) (time,1) (nmod:agent,1) (VBZ,1) 
game/NN	(NN,1) (game,1) (ccomp,1) (IN,1) (root,1) (nmod:to,1) (VB,1) (Went,1) (out,1) 
chose/VBD	(root,1) (chose,1) (VBD,1) 
1931/CD	(NN,1) (nmod:without,1) (rain,1) (NNP,1) (1931,1) (CD,1) (NNS,1) (month,1) (nummod,1) (root,1) (nsubj,1) (years,1) 
rest/NN	(NN,1) (rest,1) (IN,1) (root,1) (nmod:for,1) (out,1) 
smaller/JJR	(NN,2) (smaller,1) (JJR,1) (part,1) (root,1) (one,1) (nsubj,1) (amod,1) 
Tim/NNP	(NN,1) (NNP,1) (VBN,1) (ccomp,1) (Berners-Lee,1) (VBP,1) (root,1) (Tim,1) (received,1) (nsubj,1) (compound,1) (urlLink,1) 
While/IN	(NN,1) (VBN,1) (ccomp,2) (top,1) (IN,1) (root,1) (is,1) (misunderstood,1) (While,1) (mark,1) (VBZ,1) 
sold/VBN	(sold,1) (VBN,1) (root,1) 
urlLink/VB	(root,1) (VB,1) (urlLink,1) 
1977/CD	(NN,1) (nmod:without,1) (rain,1) (NNP,1) (CD,1) (NNS,1) (month,1) (nummod,1) (root,1) (nsubj,1) (years,1) (1977,1) 
weather/NN	(JJ,1) (connected,1) (NN,1) (VBN,1) (responsible,1) (root,1) (weather,1) (conj:and,1) (dobj,1) 
Hx/NNP	(Hx,1) (NNP,1) (NNS,1) (read,1) (root,1) (guys,1) (VB,1) (dobj,1) (dep,1) 
It/PRP	(NNS,1) (root,1) (ideas,1) (It,1) (nsubj,1) (PRP,1) 
6/CD	(CD,1) (hours,1) (NNS,1) (last,1) (nummod,1) (6,1) (root,1) (VB,1) (dobj,1) 
Time/NN	(NN,1) (VBP,1) (root,1) (Time,1) (nsubj,1) (urlLink,1) 
alternative/NN	(NN,1) (nmod:as,1) (sold,1) (VBN,1) (root,1) (alternative,1) 
across/IN	(NN,1) (across,1) (NNS,1) (VBN,1) (nmod:in,1) (cities,1) (nation,1) (IN,1) (nmod:across,1) (root,1) (planned,1) (case,1) 
stay/VB	(conj:but,1) (VBN,1) (root,1) (VB,1) (linked,1) (stay,1) 
main/JJ	(JJ,2) (NN,1) (James,1) (nmod:of,1) (main,1) (right,1) (amod,1) (RB,1) (NNP,1) (convinced,1) (root,1) (nsubj,1) (dobj,1) (much,1) 
observe/VBP	(VBP,1) (root,1) (observe,1) 
thoroughly/RB	(JJ,1) (RB,1) (advmod,1) (thoroughly,1) (VBP,1) (root,1) (recommend,1) (parataxis,1) (great,1) 
resulted/VBD	(JJ,1) (resulted,1) (acl:relcl,1) (3rd,1) (root,1) (came,1) (VBD,2) (dobj,1) 
letters/NNS	(NN,1) (NNS,1) (brought,1) (VBN,1) (root,1) (nmod:agent,1) (compound,1) (letters,1) (E-M-A-I,1) 
60/CD	(NN,1) (acl:relcl,1) (CD,1) (caused,1) (root,1) (VBD,1) (60,1) (nmod:'s,1) (type,1) 
Andy/NNP	(NNP,2) (NNS,1) (Gomarsall,1) (VBP,1) (root,1) (match,1) (nmod:to,1) (Congrats,1) (nsubj,1) (Andy,1) (compound,1) 
island/NN	(NN,1) (ccomp,1) (IN,1) (island,1) (root,1) (came,1) (purchase,1) (VBD,1) (VB,1) (dobj,1) (off,1) (xcomp,1) 
bcuseae/JJ	(JJ,1) (bcuseae,1) (root,1) 
then/RB	(RB,1) (advmod,1) (VBN,1) (root,1) (programmed,1) (deliver,1) (advcl,1) (then,1) (VB,1) 
Gloucester/NNP	(NNP,2) (NNS,1) (Gomarsall,1) (VBP,1) (Gloucester,1) (root,1) (match,1) (nmod:to,1) (Congrats,1) (nsubj,1) (compound,1) 
Brin/NNP	(NNP,1) (NNS,1) (root,1) (have,1) (Brin,1) (founders,1) (VB,1) (nsubj,1) (appos,1) 
Karl/NNP	(NN,1) (NNP,2) (Planck,1) (Karl,1) (root,1) (compound,1) (urlLink,1) (dep,1) 
April/NNP	(NNP,1) (VBN,1) (Born,1) (root,1) (nmod:on,1) (April,1) 
$/$	(NNP,1) ($,2) (Garnett,1) (root,1) (dep,1) 
here/RB	(here,1) (RB,1) (advmod,1) (root,1) (VB,1) (urlLink,1) 
quiz/NN	(JJ,1) (NN,2) (quiz,1) (James,1) (nmod:of,1) (right,1) (compound,1) (RB,1) (NNP,1) (convinced,1) (root,1) (nsubj,1) (dobj,1) (much,1) 
account/NN	(NN,1) (messing,1) (nmod:with,1) (root,1) (VBG,1) (account,1) 
A/DT	(NN,1) (DT,1) (A,1) (det,1) (root,1) (VBD,1) (well,1) (deserved,1) (nsubj,1) 
opening/VBG	(NN,1) (side,1) (NNS,1) (mean,1) (root,1) (VBG,1) (nations,1) (VB,1) (nmod:for,1) (amod,1) (nmod:on,1) (opening,1) 
hope/VB	(root,1) (is,1) (hope,1) (VB,1) (xcomp,1) (VBZ,1) 
on/IN	(NN,1) (IN,1) (root,1) (urlLink,1) (case,1) (on,1) 
wishes/VBZ	(NN,1) (acl:relcl,1) (part,1) (root,1) (wishes,1) (VBZ,1) 
nnnnice/VBP	(VBP,1) (root,1) (nnnnice,1) 
scoring/VBG	(NNS,1) (scoring,1) (chances,1) (root,1) (creating,1) (VBG,2) (dobj,1) (amod,1) 
post/NN	(NN,1) (brought,1) (VBN,1) (post,1) (nsubjpass,1) (root,1) 
division/NN	(JJ,1) (all,1) (DT,1) (division,1) (NN,1) (NNS,1) (nmod:in,1) (teams,1) (nmod:of,1) (root,1) (nmod:for,1) (great,1) 
enquiry/NN	(JJ,1) (NN,1) (similar,1) (VBN,1) (nsubjpass,1) (root,1) (enquiry,1) (conj:and,1) (launched,1) 
enough/JJ	(soaps,1) (JJ,1) (NNS,1) (VBP,1) (watch,1) (root,1) (advcl,1) (do,1) (enough,1) (VB,1) (dobj,1) (amod,1) 
Love/NN	(acl:relcl,1) (NN,2) (nmod:as,1) (CD,1) (named,1) (VBP,1) (nmod:of,1) (no.,1) (2,1) (Tunnel,1) (Love,1) (root,1) (VBD,1) (dobj,1) 
ends/NNS	(NNS,1) (ccomp,1) (meet,1) (root,1) (ends,1) (VB,2) (nsubj,1) (make,1) 
that/WDT	(that,1) (NNS,1) (ref,1) (WDT,1) (root,1) (ideas,1) 
side/NN	(NN,1) (side,1) (mean,1) (root,1) (VB,1) (nmod:on,1) 
1980/CD	(acl:relcl,1) (NN,1) (CD,2) (named,1) (VBN,1) (VBP,1) (nummod,1) (album,1) (no.,1) (dep,1) (nmod:from,1) (NNP,1) (2,1) (October,1) (nmod:tmod,1) (root,1) (1980,1) (VBD,1) (dobj,1) (released,1) 
had/VBD	(VBN,1) (aux,1) (root,1) (VBD,1) (had,1) (linked,1) 
went/VBD	(went,1) (root,1) (VBD,1) 
Europe/NNP	(NN,1) (most,1) (nmod:as,1) (NNP,1) (JJS,1) (nmod:of,1) (Europe,1) (root,1) (blog,1) 
the/DT	(NN,1) (the,1) (DT,1) (det,1) (league,1) (root,1) 
6.7/CD	(NNP,1) (CD,2) ($,2) (Garnett,1) (nummod,1) (root,1) (m,1) (compound,1) (dep,1) (6.7,1) 
come/VB	(NN,1) (VBN,1) (living,1) (cities,1) (nation,1) (nmod:across,1) (come,1) (planned,1) (VB,1) (dep,1) (xcomp,1) (NNS,1) (nmod:in,1) (root,1) (VBG,1) 
Shrek2/NNS	(NNS,2) (nmod:of,1) (minutes,1) (root,1) (Watch,1) (dobj,1) (Shrek2,1) (VBZ,1) 
from/IN	(IN,1) (root,1) (have,1) (them,1) (from,1) (VB,1) (nmod:for,1) (case,1) (PRP,1) 
animated/JJ	(NN,1) (JJ,1) (VBN,1) (ccomp,1) (nsubjpass,1) (root,1) (paid,1) (animated,1) (is,1) (amod,1) (VBZ,1) (ogre,1) 
guys/NNS	(NNS,1) (read,1) (root,1) (guys,1) (VB,1) (dobj,1) 
rock/NN	(NN,2) (rock,1) (nmod:in,1) (root,1) (beat,1) (VBD,1) (poll,1) (compound,1) 
BBC/NNP	(NN,1) (NNP,2) (BBC,1) (nmod:poss,1) (VBP,1) (get,1) (root,1) (magazine,1) (Gardeners,1) (dobj,1) (compound,1) 
extract/JJ	(NN,2) (JJ,1) (site,1) (BBC,1) (extract,1) (root,1) (amod,1) (compound,1) 
catalog/NN	(NN,2) (entry,1) (nmod:in,1) (catalog,1) (root,1) 
obviously/RB	(JJ,1) (NN,1) (think,1) (James,1) (obviously,1) (blog,1) (amod,1) (VB,1) (RB,1) (NNP,1) (advmod,1) (ccomp,1) (convinced,1) (root,1) (VBG,1) (page,1) (nsubj,2) 
meet/VB	(ccomp,1) (meet,1) (root,1) (VB,2) (make,1) 
messing/VBG	(messing,1) (root,1) (VBG,1) 
2004/CD	(JJ,1) (CD,2) (June,1) (NNP,1) (2004,1) (nummod,1) (able,1) (root,1) (8,1) (nmod:on,1) (dep,1) 
development/NN	(NN,1) (NNS,1) (development,1) (went,1) (root,1) (get,1) (VBD,1) (nmod:to,1) (services,1) (VB,1) (nmod:for,1) (xcomp,1) 
am/VBP	(JJ,1) (sure,1) (VBP,1) (cop,1) (root,1) (am,1) 
very/RB	(JJ,1) (RB,2) (advmod,2) (very,1) (root,1) (pleased,1) (well,1) 
he/PRP	(IN,1) (root,1) (nsubj,1) (he,1) (out,1) (PRP,1) 
Roman/NNP	(NNP,3) (VBN,1) (nmod:poss,1) (Abramovich,1) (root,1) (Chelsea,1) (nmod:to,1) (Roman,1) (compound,1) (linked,1) 
device/NN	(NN,1) (VBP,1) (nmod:with,1) (root,1) (device,1) (observe,1) 
Gomarsall/NNP	(NNP,1) (NNS,1) (Gomarsall,1) (VBP,1) (root,1) (match,1) (nmod:to,1) (Congrats,1) (nsubj,1) 
Wind/NNP	(NNP,2) (Wind,1) (VBN,1) (Born,1) (root,1) (nmod:on,1) (compound,1) (April,1) 
caused/VBD'	(NN,1) (acl:relcl,1) (caused,1) (root,1) (VBD',1) (type,1) 
communication/NN	(NN,4) (implements,1) (acl:relcl,1) (brought,1) (VBN,2) (auxpass,1) (was,1) (used,1) (acl,1) (nmod:for,1) (VBZ,1) (overflow,1) (library,1) (nmod:in,1) (notation,1) (root,1) (VBD,1) (nsubj,1) (dobj,1) (communication,1) 
Helen/NNP	(JJ,1) (NNP,1) (root,1) (pleased,1) (nsubj,1) (Helen,1) 
LOT/NNP	(LOT,1) (NNP,1) (root,1) (loads,1) (VBD,1) (dobj,1) 
fourth/JJ	(JJ,2) (all,1) (NN,1) (teams,1) (nmod:of,1) (nmod:for,1) (amod,1) (great,1) (DT,1) (division,1) (NNS,1) (nmod:in,1) (root,1) (fourth,1) 
eye/NN	(eye,1) (NN,1) (VBP,1) (nmod:with,1) (root,1) (observe,1) 
m/CD	(NNP,1) (CD,1) ($,2) (Garnett,1) (nummod,1) (root,1) (m,1) (dep,1) 
new/JJ	(NN,1) (JJ,1) (new,1) (VBP,1) (root,1) (nsubj,1) (amod,1) (look,1) (nnnnice,1) 
link/NN	(NN,1) (include,1) (root,1) (link,1) (VB,2) (dobj,1) (prompt,1) (xcomp,1) 
