''/VB	('',1) (root,1) (VB,1) 
objects/NNS	(NNS,1) (ccomp,1) (nmod:into,1) (VBP,1) (root,1) (objects,1) (VBD,1) (collide,1) (heard,1) 
adjusted/VBN	(NN,1) (VBN,1) (tell,1) (root,1) (adjusted,1) (VBD,1) (opened,1) (parataxis,1) (acl,1) (VB,1) (while,1) (dobj,1) 
fight/NN	(NN,1) (NNS,1) (winning,1) (root,1) (VBD,1) (had,1) (hopes,1) (VBG,1) (acl,1) (dobj,2) (fight,1) 
I-I/NNP	(NNP,1) (see,1) (I-I,1) (root,1) (VB,1) (nsubj,1) 
As/IN	(As,1) (turned,1) (IN,1) (root,1) (VBD,1) (mark,1) 
with/IN	(NN,2) (with,1) (beard,1) (nmod:with,1) (IN,1) (root,1) (man,1) (case,1) 
next/JJ	(next,1) (JJ,1) (avoided,1) (ccomp,1) (root,1) (VBD,1) (VBG,1) (Fearing,1) (dep,1) 
carefully/RB	(RB,1) (avoided,1) (advmod,1) (carefully,1) (root,1) (VBD,1) 
I/PRP	(VBP,1) (root,1) (I,1) (nsubj,1) (swear,1) (PRP,1) 
thought/NN	(NN,1) (nmod:at,1) (thought,1) (root,1) (feel,1) (VB,1) 
hairs/NNS	(NNS,1) (hairs,1) (root,1) (feel,1) (VB,1) (dobj,1) 
turned/VBD	(turned,1) (root,1) (VBD,1) 
taken/VBN	(VBN,1) (going,1) (root,1) (taken,1) (VBG,1) (xcomp,1) 
sounds/NNS	(NNS,1) (sounds,1) (root,1) (VBD,1) (dobj,1) (heard,1) 
mother/NN	(NN,1) (mother,1) (instruct,1) (root,1) (VB,1) (nsubj,1) 
anyone/NN	(NN,3) (JJ,1) (acl:relcl,1) (them?It,1) (ccomp,1) (anyone,1) (root,1) (they?Who,1) (it?No,1) (parataxis,1) 
took/VBD	(took,1) (root,1) (VBD,1) 
bushy/JJ	(NN,2) (JJ,1) (beard,1) (nmod:with,1) (root,1) (bushy,1) (man,1) (amod,1) 
there/RB	(RB,1) (advmod,1) (were,1) (root,1) (there,1) (VBD,1) 
Like/IN	(Like,1) (IN,1) (root,1) (us,1) (case,1) (PRP,1) 
find/VB	(going,1) (find,1) (root,1) (VBG,1) (VB,1) (xcomp,1) 
cars/NNS	(cars,1) (NNS,1) (ccomp,1) (VBP,1) (root,1) (VBD,1) (collide,1) (nsubj,1) (heard,1) 
born/VBN	(VBN,1) (root,1) (born,1) (was,1) (VBD,1) (advcl,1) 
alien/JJ	(JJ,1) (acl:relcl,1) (NNS,1) (sounds,1) (root,1) (VBD,1) (dobj,1) (heard,1) (alien,1) 
Seer/NN	(NN,1) (root,1) (Seer,1) 
women/NNS	(NNS,1) (root,1) (women,1) 
exercises/NNS	(given,1) (NNS,1) (VBN,1) (exercises,1) (root,1) (dobj,1) 
store/NN	(NN,4) (JJ,1) (acl:relcl,1) (them?It,1) (ccomp,1) (nmod:in,1) (anyone,1) (root,1) (they?Who,1) (it?No,1) (parataxis,1) (store,1) 
second/JJ	(JJ,2) (NN,1) (6-months,1) (nmod:into,1) (year,1) (noticed,1) (root,1) (VBD,1) (amod,1) (dep,1) (second,1) 
Paved/JJ	(JJ,1) (Paved,1) (NNS,1) (root,1) (roads,1) (amod,1) 
canned/JJ	(NN,1) (nmod:as,1) (JJ,1) (took,1) (soup,1) (root,1) (canned,1) (VBD,1) (amod,1) 
Great/NNP	(JJ,1) (Great,1) (NNP,2) (blind,1) (Blinding,1) (root,1) (nmod:before,1) (compound,1) 
someone/NN	(NN,1) (avoided,1) (someone,1) (nmod:into,1) (root,1) (VBD,2) (advcl,1) (bumped,1) 
needed/VBD	(needed,1) (root,1) (VBD,1) 
beard/NN	(NN,2) (beard,1) (nmod:with,1) (root,1) (man,1) 
muscular/NN	(NN,2) (muscular,1) (nmod:of,1) (root,1) (man,1) 
